Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
174346,puentealto,Alcántara,4,3,100.0,3,6359979,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
342466,penalolen,Casacon4d+4b+bodega,4,4,150.0,0,9238567,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
123288,pirque,Tocornal,5,2,90.0,2,9531786,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
143213,pirque,Tocornal,3,1,75.0,1,9531807,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
149440,puentealto,Barrantes1Sur,3,2,85.0,2,9532009,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
576177,laflorida,Elhualle,5,4,200.0,6,9869469,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
374515,penalolen,notronorte,3,3,125.0,2,9128062,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
298879,nunoa,DubléAlmeyda,3,2,79.0,2,9181268,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
305374,lampa,chicaumaciudadparque,3,3,145.0,2,10017600,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
478670,laflorida,Colombia,5,4,194.0,3,10048145,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
886426,providencia,Orquídeas/CarlosAntunez,6,5,180.0,3,9562881,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
180573,colina,MaríaEsterFuenzalida,4,2,120.0,0,11311530,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
298879,puentealto,Lamontura,4,3,120.0,2,9576820,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
186800,maipu,VillaSantaCecilia/Maipu,4,2,75.0,0,11660678,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
118294,estacioncentral,Ramónrivasentrepadrevivesypíoxii,2,1,53.0,3,11660539,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
